date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:50	23959/23959	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	https://getbootstrap.com/assets/brand/bootstrap-social-logo.png	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/assets/brand/bootstrap-social-logo.png	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:52	27179/27179	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/contents/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/contents/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:52	36403/36403	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/browsers-devices/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/browsers-devices/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:53	36004/36004	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/javascript/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/javascript/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:54	52922/52922	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/theming/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/theming/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:54	27265/27265	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/build-tools/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/build-tools/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:56	27750/27750	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/accessibility/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/accessibility/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:56	22571/22571	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/examples/screenshots/starter-template.jpg	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/examples/screenshots/starter-template.jpg	(from http://getbootstrap.com/docs/4.0/examples/)
18:05:56	29525/29525	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202017%2020:06:25%20GMT	http://getbootstrap.com/docs/4.0/getting-started/webpack/	C:/My%20Web%20Sites/bootstrap4/getbootstrap.com/docs/4.0/getting-started/webpack/index.html	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
18:05:57	169929/169929	---MCZ	200	added ('OK')	application/javascript	etag:%22297c9-WlavPBju/lCOikKkyKVssA3FKRw%22	https://cdn.jsdelivr.net/docsearch.js/2/docsearch.min.js	C:/My%20Web%20Sites/bootstrap4/cdn.jsdelivr.net/docsearch.js/2/docsearch.min.js	(from http://getbootstrap.com/docs/4.0/getting-started/introduction/)
